Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
260.0,696.9872212898006,0.003647380599532525,0.02853434676229965,443544.55138426,2.2306449414289586,890.4447035669073,1118.2639224671202,0.09804946015246656
270.0,696.9872212898006,0.002878285385148256,0.027738302774446773,439659.8243569575,5.574345908725457,883.5618326591837,1172.564656888889,0.0965812905423848
280.0,696.9872212898006,0.002322827900059742,0.02694639130924567,435718.2713954753,12.947392827752472,876.617392761367,1226.3063808798188,0.09513703589068313
290.0,696.9872212898006,0.0019109599409411775,0.026158689257324265,431717.6678864884,28.17115711564758,869.6089572035199,1279.4890944399094,0.09371382671703629
300.0,696.9872212898006,0.001598471613123382,0.02537527685987072,427655.64487120556,57.81072470676767,862.533942642738,1332.112797569161,0.09230902900364507
310.0,696.9872212898006,0.0013565571413228894,0.024596237942522595,423529.6757750263,112.55236321060147,855.3895946972322,1384.1774902675738,0.09092020641116902
320.0,696.9872212898006,0.0011659122135698455,0.023821660172035696,419337.06153947685,208.96770965119882,848.1729718527752,1435.6831725351476,0.08954508796326444
330.0,696.9872212898006,0.0010132726713883069,0.02305163533861315,415074.9139161483,371.65730059477943,840.8809273817625,1486.6298443718822,0.08818154006836737
340.0,696.9872212898006,0.0008893188674534631,0.022286259667227904,410740.13663861726,635.7280159713947,833.5100889678362,1537.017505777778,0.08682754197087157
350.0,696.9872212898006,0.0007873700378295521,0.02152563416180989,406329.404135166,1049.5211105788994,826.0568356715282,1586.8461567528348,0.08548116389100924
360.0,696.9872212898006,0.0007025496581733883,0.020769864986812426,401839.13738016563,1677.4748974147387,818.5172718021236,1636.1157972970523,0.08414054723716231
370.0,696.9872212898006,0.0006312393211770878,0.020019063891444734,397265.4764021973,2602.9831568852283,810.8871971746181,1684.8264274104308,0.0828038863656086
380.0,696.9872212898006,0.000570713766708831,0.019273348682789272,392604.24886840873,3931.0998680388084,803.1620731239999,1732.9780470929704,0.08146941142751085
390.0,696.9872212898006,0.0005188922298491528,0.01853284375515366,387850.9340420751,5790.944043909442,795.3369835164737,1780.5706563446713,0.08013537188579446
400.0,696.9872212898006,0.0004741660219142811,0.01779768068438677,383000.62125705084,8337.674742227657,787.4065898313313,1827.604255165533,0.07880002030822265
410.0,696.9872212898006,0.0004352770205544577,0.01706799889758279,378047.9618597298,11753.933728954255,779.3650791781508,1874.078843555556,0.07746159604883747
420.0,696.9872212898006,0.0004012307498066703,0.016343946430690464,372987.11332418845,16250.688826312797,771.2061038487315,1919.9944215147395,0.07611830841804569
430.0,696.9872212898006,0.0003712333397066673,0.015625680789149027,367811.6739330107,22067.451223114185,762.9227106639331,1965.3509890430837,0.07476831891070895
440.0,696.9872212898006,0.00034464521622961394,0.014913369929936485,362514.606012574,29471.88148376245,754.5072579381197,2010.1485461405896,0.07340972200884949
450.0,696.9872212898006,0.0003209466739644976,0.014207193387538737,357088.1451865266,38758.838536000236,745.9513173147695,2054.3870928072565,0.07204052399632933
460.0,696.9872212898006,0.0002997119962354154,0.013507343571599257,351523.69242184673,50248.96102979636,737.245556979317,2098.0666290430836,0.07065861910993304
470.0,696.9872212898006,0.00028058979639758414,0.012814027270759037,345811.6847276009,64286.899374558714,728.3796017634692,2141.1871548480726,0.06926176219404859
480.0,696.9872212898006,0.00026328793691435005,0.012127467405956655,339941.4391405383,81239.33849609266,719.3418643246612,2183.7486702222227,0.06784753680897466
490.0,696.9872212898006,0.00024756185113753777,0.011447905087947984,333900.96296809666,101492.96565911635,710.1193397779167,2225.751175165533,0.06641331744278134
500.0,696.9872212898006,0.0002332054178375911,0.010775602049048195,327676.7209728369,125452.54495471693,700.697353673115,2267.194669678004,0.06495622405946172
510.0,696.9872212898006,0.0002200437667756003,0.010110843539573328,321253.3469951137,153539.26112690024,691.0592497457574,2308.0791537596374,0.06347306663044283
520.0,696.9872212898006,0.00020792755542242783,0.009453941807336755,314613.2829995993,186189.49152961475,681.1859989617485,2348.4046274104307,0.061960276463823696
530.0,696.9872212898006,0.00019672837254691486,0.008805240317084873,307736.32203781634,223854.15760028522,671.0557043074245,2388.1710906303856,0.06041381994362704
540.0,696.9872212898006,0.00018633500736590222,0.008165118920886774,300599.0220970216,266998.79784036,660.6429654012094,2427.378543419501,0.05882908852527172
550.0,696.9872212898006,0.00017665038234313205,0.00753400026794187,293173.94355295005,316104.4944464872,649.9180514592639,2466.026985777778,0.05720075618640519
560.0,696.9872212898006,0.00016758898948984112,0.006912357855357007,285428.64111389255,371669.77692012483,638.8458073152178,2504.1164177052156,0.055522591474011486
570.0,696.9872212898006,0.00015907469775497648,0.006300726290379299,277324.30683451064,434213.6195892114,627.3841796949247,2541.6468392018137,0.05378720490584798
580.0,696.9872212898006,0.000151038814329624,0.005699714593528338,268813.90525901015,504279.64729183546,615.4821901872132,2578.618250267574,0.05198570214908077
590.0,696.9872212898006,0.0001434182846192862,0.005110023780877234,259839.5488684672,582441.6656987114,603.0770795484808,2615.0306509024945,0.050107196098257194
600.0,696.9872212898006,0.00013615389991058707,0.004532470631353652,250328.70051801976,669310.6410328748,590.0901706878416,2650.884041106576,0.04813810088018417
610.0,696.9872212898006,0.00012918833733587475,0.00396802067917907,240188.49590113983,765543.2694196245,576.4206746767563,2686.1784208798185,0.04606107606251576
620.0,696.9872212898006,0.00012246375794505937,0.003417835490737522,229296.9159757343,871852.29996656,561.9360433539888,2720.9137902222224,0.04385338430053862
630.0,696.9872212898006,0.00011591847421628297,0.002883343087360998,217488.38807036687,989018.80927446,546.4561996594381,2755.090149133787,0.04148421080021726
640.0,696.9872212898006,0.00010948171067521154,0.0023663480466734883,204528.8475926405,1117906.6699986078,529.7261530911868,2788.7074976145127,0.038910017419031474
650.0,696.9872212898006,0.00010306427059175765,0.0018692147011339743,190069.06499851818,1259479.5142629596,511.36457706137514,2821.765835664399,0.03606584083541278
660.0,696.9872212898006,9.653950443676245e-05,0.0013951985210661653,173547.66572533245,1414820.5666282035,490.7564931479859,2854.265163283447,0.03284719612469957
670.0,696.9872212898006,8.969737021401524e-05,0.0009491212262897652,153956.92672902302,1585155.8140666247,466.79255421619644,2886.205480471656,0.029066335509755313
680.0,696.9872212898006,8.210176031772643e-05,0.0005390278844701033,129123.59808011749,1771881.0960462235,437.0612494316616,2917.586787229025,0.02431780192849186
690.0,696.9872212898006,7.236298251205722e-05,0.00018199358775848671,92128.67765685212,1976593.8416078496,393.7593102381772,2948.409083555556,0.017308396632646644
696.9872212898006,696.9872212898006,4.96850383029841e-05,0.0,0.0,2131275.621056482,274.4181008478292,2969.613549613991,0.0
