Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
250.0,673.2779290330267,0.00346312700988589,0.03345992748435986,501517.039978556,22.359164576733214,890.9590754514584,1143.2356092002208,0.1271683762107985
260.0,673.2779290330267,0.002720982304696058,0.03249631827234706,496981.24230654375,48.66960207711424,884.1240005363866,1184.5151055046886,0.1251971779998153
270.0,673.2779290330267,0.002188766862072444,0.03153787699126131,492376.87673990254,99.48695244762507,877.2235623104316,1225.3759167567569,0.12325951529587492
280.0,673.2779290330267,0.0017963909225336327,0.030584703057835953,487701.16700145043,192.30524018499358,870.2551040307077,1265.818042956426,0.12135124137360408
290.0,673.2779290330267,0.0015000791708387523,0.029636900371638682,482951.15034081123,353.60880912684814,863.2157913025034,1305.8414841036958,0.11946856274054263
300.0,673.2779290330267,0.0012715607092498903,0.028694577639170722,478123.6597724639,621.7313142834602,856.1025951920644,1345.446240198566,0.11760798064714664
310.0,673.2779290330267,0.001092032185484698,0.027757848730688862,473215.3040960281,1049.9732346633405,848.9122732321534,1384.632311241037,0.11576624134738066
320.0,673.2779290330267,0.0009486569240699726,0.026826833074044452,468222.4453525505,1709.823252672821,841.6413479913426,1423.399697231109,0.11394029324263345
330.0,673.2779290330267,0.000832465672752175,0.025901656090533437,463141.1733050593,2694.106299407669,834.2860828157054,1461.7483981687813,0.11212724942179336
340.0,673.2779290330267,0.0007370596747800785,0.024982449678591066,457967.2764514734,4119.876141446279,826.8424542753036,1499.6784140540542,0.1103243543916367
349.99999999999994,673.2779290330267,0.0006577876721846122,0.024069352752173218,452696.2089792519,6130.88292360214,819.3061207539675,1537.1897448869277,0.10852895399873966
360.0,673.2779290330267,0.0005912108843441892,0.023162511841886592,447323.05294896197,8899.473734480376,811.6723865045597,1574.2823906674023,0.10673846769396628
370.0,673.2779290330267,0.0005347474994426276,0.022262081768413485,441842.47484167886,12627.823194826353,803.9361603469906,1610.9563513954772,0.10495036239489976
380.0,673.2779290330267,0.00048643169563273556,0.021368226399590712,436248.6754141856,17548.436739902456,796.0919080044442,1647.211627071153,0.10316212726807791
390.0,673.2779290330267,0.0004447472958920131,0.02048111950473504,430535.3315647897,23923.917119215632,788.1335968435943,1683.0482176944295,0.10137124878615168
400.0,673.2779290330267,0.0004085110098091825,0.0196009457225726,424695.52860577585,32046.030628386525,780.0546314923132,1718.4661232653064,0.09957518541704692
410.0,673.2779290330267,0.00037678921265411745,0.01872790166257954,418721.68094507296,42234.150528269965,771.847778433396,1753.4653437837842,0.09777134127233546
419.99999999999994,673.2779290330267,0.00034883778166262797,0.01786219716387671,412605.4386709026,54833.18880624792,763.5050771877138,1788.045879249862,0.09595703797715897
430.0,673.2779290330267,0.000324058026131614,0.017004056741314024,406337.5768691701,70211.1527058617,755.0177350668743,1822.2077296635412,0.09412948391798766
440.0,673.2779290330267,0.00030196400931771516,0.016153721255400197,399907.8636283775,88756.4790013822,746.3760016405091,1855.950895024821,0.09228573986709383
450.0,673.2779290330267,0.00028215803915458335,0.01531144985178737,393304.90152171755,110875.30725992742,737.5690179509282,1889.2753753337013,0.09042267975836986
459.99999999999994,673.2779290330267,0.00026431208743638246,0.014477522227816371,386515.9357869589,136988.85428868592,728.5846340090432,1922.181170590182,0.08853694507482775
470.0,673.2779290330267,0.000248153559531375,0.013652241299163675,379526.6202857215,167531.04693067,719.4091860609482,1954.668280794264,0.08662489086924102
480.0,673.2779290330267,0.00023345428928982673,0.012835936360333765,372320.729368788,202946.56085307334,710.0272222882838,1986.7367059459464,0.08468252082415709
490.0,673.2779290330267,0.0002200219468806615,0.012028966860685086,364879.79963241454,243689.40051818022,700.4211616413639,2018.3864460452294,0.08270540788740262
499.99999999999994,673.2779290330267,0.00020769326622694233,0.01123172695593186,357182.67965286743,290222.1416345345,690.5708648546823,2049.6175010921124,0.08068859577324741
509.99999999999994,673.2779290330267,0.00019632865319914552,0.010444651048245417,349204.9572403601,343015.9434321839,680.453088501143,2080.429871086597,0.07862647480759924
520.0,673.2779290330267,0.00018580784536200885,0.009668220603285635,340918.2211290623,402551.42531019205,670.0407808264246,2110.823556028682,0.07651262291310476
530.0,673.2779290330267,0.00017602637181585824,0.00890297264088319,332289.09496680455,469320.49181943946,659.3021598014483,2140.7985559183676,0.07433959847543273
540.0,673.2779290330267,0.00016689261596455839,0.008149510455654001,323277.9520159184,543829.1824621301,648.1994855041319,2170.354870755654,0.07209866555769873
550.0,673.2779290330267,0.00015832532000228477,0.007408517364386667,313837.1722045998,626601.6191688568,636.6873938974732,2199.4925005405407,0.06977942195783797
560.0,673.2779290330267,0.00015025138983862927,0.006680774649666735,303908.7265808812,718185.1252109767,624.7105852041185,2228.2114452730284,0.06736928426385903
570.0,673.2779290330267,0.00014260386225587948,0.005967185464549711,293420.7443336177,819156.5953177108,612.2005345946154,2256.511704953117,0.06485275633422594
580.0,673.2779290330267,0.00013531987680869733,0.005268807448998645,282282.48812452186,930130.2084801954,599.0706708461605,2284.3932795808055,0.06221035862874657
589.9999999999999,673.2779290330267,0.0001283384388549746,0.004586898511463469,270376.7384592548,1051766.592967337,585.2090563537264,2311.856169156095,0.059417004988973184
600.0,673.2779290330267,0.00012159763254914222,0.003922983319979753,257547.75442861492,1184783.5781792323,570.4667914274719,2338.9003736789855,0.05643943527797035
610.0,673.2779290330267,0.00011503065845199794,0.0032789540082556806,243581.22725071214,1329968.7010166266,554.6386580927926,2365.525893149476,0.053231937736063294
620.0,673.2779290330267,0.00010855940232852033,0.0026572309932445543,228168.63479724707,1488193.6765804528,537.4285954115715,2391.732727567568,0.049728737018260714
630.0,673.2779290330267,0.00010208250785357029,0.00206103814834516,210838.15898146332,1660431.0956873014,518.3825260810875,2417.5208769332603,0.04582922968665992
640.0,673.2779290330267,9.54497227022691e-05,0.0014949202800985414,190803.9438866949,1847773.6767725232,496.7410222013991,2442.890341246553,0.04136573880462304
650.0,673.2779290330267,8.839492929902095e-05,0.000965860793438133,166573.84312238224,2051456.4796776578,471.05314651165486,2467.8411205074467,0.03601952765627105
659.9999999999999,673.2779290330267,8.029750901240978e-05,0.0004863172253380386,134572.86144145043,2272882.586711634,437.8058407105603,2492.3732147159403,0.02902575987849521
