Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
230.0,639.5862522315682,0.00326481861741482,0.0360215729824425,502082.92403501045,44.34286900559461,908.2204516373306,1004.8533570340138,0.14392025182360937
240.0,639.5862522315682,0.00253435802717815,0.03494960903677002,497389.0436784509,96.54199011206671,901.1180512312787,1045.3879937006805,0.1415670251477096
250.0,639.5862522315682,0.0020199146304740834,0.03388359061671786,492621.7547706802,196.6400508585407,893.9445819716852,1085.5130773061226,0.13925945264620734
260.0,639.5862522315682,0.0016461909373429024,0.0328236361076708,487777.9797025495,377.66593107722406,886.6970553564307,1125.22860785034,0.13699174497699657
270.0,639.5862522315682,0.0013673535932161066,0.03176986942528497,482854.42663060984,688.5405866157741,879.3722757323923,1164.5345853333333,0.13475866137508485
280.0,639.5862522315682,0.00115443942255385,0.030722420430096018,477847.5683079422,1198.4609494097035,871.9668198634596,1203.4310097551022,0.1325554149267913
290.0,639.5862522315682,0.0009885380962255223,0.02968142538557956,472753.6181701876,2001.3878768798495,864.4770138504836,1241.9178811156464,0.13037759335616836
300.0,639.5862522315682,0.0008569431519351052,0.028647027465588434,467568.50323130755,3220.3571250634823,856.8989069732254,1279.9951994149662,0.12822109185858704
310.0,639.5862522315682,0.0007508968963191949,0.027619377318097302,462287.8332559051,5011.334396570562,849.2282419396612,1317.6629646530614,0.12608205528153252
320.0,639.5862522315682,0.0006642250483206067,0.026598633693396927,456906.8655667449,7566.366542871195,841.460420923469,1354.9211768299322,0.12395682750988929
330.0,639.5862522315682,0.000592485508325299,0.025584964146349295,451420.46471185086,11115.834848220187,833.5904666407674,1391.7698359455785,0.12184190631809072
340.0,639.5862522315682,0.0005324235298162594,0.02457854582410422,445823.05604788754,15929.684896238903,825.6129775551027,1428.2089420000002,0.11973390224251694
350.0,639.5862522315682,0.0004816146429215572,0.02357956635287105,440108.57208571606,22317.582355878578,817.5220760958271,1464.2384949931975,0.11762950023023494
360.0,639.5862522315682,0.00043822555193051387,0.022588224840045305,434270.3901770808,30628.017503032577,809.3113485168222,1499.8584949251701,0.11552542295156179
370.0,639.5862522315682,0.0004008508720738707,0.02160473301134921,428301.25978077936,41246.4473990742,800.9737746929585,1535.0689417959186,0.11341839473431564
380.0,639.5862522315682,0.0003683996437864218,0.020629316506848325,422193.2171085647,54592.619280898354,792.501645727625,1569.8698356054426,0.11130510509188446
390.0,639.5862522315682,0.00034001514622692514,0.01966221636500341,415937.4843825894,71117.25968541151,783.8864666942246,1604.2611763537416,0.10918217077534383
400.0,639.5862522315682,0.00031501737916016736,0.018703690730649276,409524.3501917848,91298.3406040525,775.1188411133547,1638.2429640408166,0.10704609517667357
410.0,639.5862522315682,0.00029286122624252954,0.01775401683142466,402943.02644991333,115637.14731256326,766.1883328130501,1671.8151986666667,0.10489322373464435
420.0,639.5862522315682,0.000273105628231501,0.016813493278351677,396181.47614155075,144654.37413211307,757.0832995427974,1704.9778802312928,0.10271969372853514
