Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
270.0,702.9216547354831,0.0036311725889888596,0.02626619184320691,485978.0186545448,0.36532598174343395,826.5075158911757,1353.0731551020406,0.09386025591975013
280.0,702.9216547354831,0.0028727627128753417,0.0255265607695366,481681.3806342673,1.0214189656895005,819.7905269177309,1402.174848771345,0.0924682394828041
290.0,702.9216547354831,0.0023221746648966935,0.024790806180837316,477321.2824486406,2.6333001143203765,813.0151034474646,1450.7949910037485,0.09109688660802794
300.0,702.9216547354831,0.0019122339881994233,0.02405900091235414,472895.21511450945,6.313180300100023,806.1789102927511,1498.9335817992503,0.0897436604017908
310.0,702.9216547354831,0.0016001916899806691,0.02333122100513252,468400.5051955218,14.178896807656873,799.2794600328975,1546.5906211578508,0.08840621716289118
320.0,702.9216547354831,0.0013579991806841943,0.022607545932113258,463834.29952540563,30.024193422888665,792.3140989174891,1593.7661090795502,0.08708237523150004
330.0,702.9216547354831,0.0011667486643304888,0.021888058846481442,459193.54807225923,60.28078270417041,785.2799910571896,1640.4600455643483,0.08577008807133304
340.0,702.9216547354831,0.001013383438673726,0.021172846855114037,454474.9846612078,115.3230502164898,778.1741006418067,1686.6724306122449,0.08446742070972878
350.0,702.9216547354831,0.0008886905723924386,0.02046200132042286,449675.1052207444,211.14643947314298,770.9931718775238,1732.4032642232403,0.08317252882348757
360.00000000000006,702.9216547354831,0.0007860418169675415,0.019755618194427806,444790.14315469796,371.4218912512637,763.7337062768677,1777.6525463973346,0.08188363988033281
370.0,702.9216547354831,0.0007005839569374085,0.019053798389540442,439816.0413641705,629.8941747742305,756.3919368635408,1822.4202771345272,0.08059903583607501
380.0,702.9216547354831,0.0006287063033818459,0.018356648191313118,434748.4203482458,1033.0557801209713,748.9637987662799,1866.706456434819,0.07931703695256213
390.0,702.9216547354831,0.0005676832097361682,0.01766427971934752,429582.5416939484,1642.9949934824829,741.4448955669615,1910.5110842982092,0.07803598634579896
400.0,702.9216547354831,0.0005154295477533264,0.016976811443697015,424313.26611847326,2540.2913000368962,733.8304606323733,1953.834160724698,0.07675423490011013
410.0,702.9216547354831,0.0004703305537660404,0.016294368765492846,418935.0050417482,3826.816802478101,726.11531248873,1996.6756857142855,0.07547012619449428
420.0,702.9216547354831,0.00043112154167021803,0.015617084672242085,413441.66443373705,5628.300893378528,718.2938030827661,2039.0356592669718,0.0741819810817815
430.0,702.9216547354831,0.0003968016201973944,0.014945100480373378,407826.5793835484,8096.527328626073,710.3597574993042,2080.914081382757,0.07288808153911337
440.0,702.9216547354831,0.00036657096126348654,0.014278566680262351,402082.43745599774,11411.056935123363,702.3064033536939,2122.310952061641,0.07158665336759945
450.0,702.9216547354831,0.0003397846161907601,0.013617643902306851,396201.18840784096,15780.403043122931,694.1262876227211,2163.2262713036234,0.07027584725622077
460.0,702.9216547354831,0.0003159181154911279,0.012962504026853557,390173.93719176314,21442.62716663079,685.8111780836998,2203.6600391087045,0.06895371763462067
470.0,702.9216547354831,0.0002945415644084676,0.01231333146618611,383990.8163270927,28665.365949297546,677.3519457483648,2243.6122554768845,0.06761819861311366
480.0,702.9216547354831,0.0002752999348389826,0.011670324653763798,377640.832585112,37745.34354728641,668.7384236346862,2283.082920408163,0.06626707613397309
490.0,702.9216547354831,0.00025789792521283044,0.011033697784995283,371111.6814129509,49007.463495573626,659.9592358133289,2322.0720339025406,0.06489795521813342
500.0,702.9216547354831,0.0002420882213206822,0.010403682865815521,364389.52044167736,62803.60845871851,651.0015887465603,2360.5795959600164,0.06350822085977549
510.0,702.9216547354831,0.0002276623121719383,0.009780532141310536,357458.6905515897,79511.30367934934,641.851014283955,2398.6056065805915,0.06209499065895561
520.0,702.9216547354831,0.00021444324087102973,0.009164520998210248,350301.3689392744,99532.41982368843,632.4910499561838,2436.1500657642646,0.06065505663063324
530.0,702.9216547354831,0.00020227983092154127,0.008555951464620489,342897.1328911131,123292.10347661022,622.9028369003584,2473.212973511037,0.05918481269653603
540.0,702.9216547354831,0.0001910420431143344,0.007955156471471034,335222.40464516927,151238.12961410105,613.0646080490735,2509.7943298209075,0.05768016301198828
550.0,702.9216547354831,0.00018061720049279567,0.007362505098324278,327249.7354198507,183840.87135253352,602.9510278221004,2545.8941346938773,0.05613640427468877
560.0,702.9216547354831,0.00017090687767309525,0.006778409110081352,318946.86810409976,221594.0798866997,592.532327336829,2581.5123881299455,0.05454807213050629
570.0,702.9216547354831,0.00016182429177045207,0.006203331214719437,310275.48935125617,265016.6637623724,581.7731524815908,2616.649090129112,0.052908737096521906
580.0,702.9216547354831,0.000153292058665392,0.00563779565870133,301189.5361108559,314655.6535904911,570.6309997509821,2651.304240691378,0.05121072795320196
590.0,702.9216547354831,0.00014524019140395045,0.0050824020658944,291632.84670040803,371090.53815498634,559.0540450757305,2685.4778398167423,0.04944474830711454
600.0,702.9216547354831,0.00013760421545953527,0.0045378438884390426,281535.8192673421,434939.16276251094,546.9780524078379,2719.1698875052057,0.04759933121053323
610.0,702.9216547354831,0.00013032325217608904,0.004004933605142012,270810.5153739862,506865.39281069994,534.3218389061101,2752.3803837567675,0.045660039882448517
620.0,702.9216547354831,0.00012333786174228192,0.003484638129977565,259343.2286207598,587588.7671464994,520.9803832501817,2785.1093285714287,0.043608254163476724
630.0,702.9216547354831,0.00011658730477154016,0.0029781303070315706,246982.7171143324,677896.3992166157,506.8138948999993,2817.356721949188,0.04141924782597185
640.0,702.9216547354831,0.00011000558925289352,0.0024868670343710982,233520.56878082803,778657.4319024893,491.62953856014633,2849.1225638900455,0.03905897835040386
650.0,702.9216547354831,0.00010351498280279122,0.0020127142878314888,218656.1948700699,890840.4173272761,475.14876700555527,2880.4068543940025,0.03647835918461203
660.0,702.9216547354831,9.701388241497227e-05,0.0015581616595491702,201928.7430478765,1015534.0795020235,456.9435718461954,2911.209593461058,0.03360211042207835
670.0,702.9216547354831,9.035053964424898e-05,0.0011267274329304928,182567.77285090045,1153972.0300330827,436.2960435264838,2941.5307810912122,0.030304285752131267
680.0,702.9216547354831,8.32538915440157e-05,0.0007238388929312438,159101.60311737374,1307562.1510959913,411.82765187360184,2971.3704172844646,0.026344025546347526
690.0,702.9216547354831,7.508347336151375e-05,0.00035925000618087475,127962.28268329443,1477921.5430625002,380.1650246216665,3000.7285020408162,0.021136489859606616
700.0,702.9216547354831,6.283160406334197e-05,5.837421401466101e-05,72731.0851634723,1666918.1664220458,325.3837475867238,3029.605035360266,0.01198476334415065
702.9216547354831,702.9216547354831,4.652802356607928e-05,1.50181974085581e-21,0.5056634999664736,1725958.6181174824,242.5119523318177,3037.9508622649914,8.326634875607552e-08
