Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
190.0,590.0900093375514,0.007922350842025708,0.03165354227249122,490737.08297704166,0.01302999769617878,786.4837223981131,1115.5374342602042,0.15567122839016925
200.0,590.0900093375514,0.005340239324912686,0.030689271327027604,486039.5196892713,0.06418630760285443,779.5770211186484,1165.0454337499998,0.15286861326071777
210.0,590.0900093375514,0.00379143788932888,0.029730478450276966,481266.6870481089,0.26728687109655275,772.6050099437845,1214.1138324744898,0.1501415842848166
220.0,590.0900093375514,0.0028073206397312934,0.028777275438243453,476415.3499101184,0.9634418852226874,765.5648522967837,1262.7426304336734,0.14748019659745973
230.0,590.0900093375514,0.002151558412837534,0.027829779443083836,471482.0421008288,3.065122827372763,758.4535101267053,1310.931827627551,0.14487571491123466
240.0,590.0900093375514,0.0016968720511289686,0.02688811338522979,466463.04297809245,8.747306329888655,751.2677235343854,1358.6814240561225,0.14232038490900886
250.0,590.0900093375514,0.001370819275218458,0.025952406409870992,461354.350873395,22.69821721156223,744.0039876887516,1405.9914197193877,0.13980725047030781
260.0,590.0900093375514,0.0011301844160023422,0.025022794394016768,456151.6528901309,54.17094638134839,736.6585265816109,1452.8618146173471,0.13733000538054316
270.0,590.0900093375514,0.000948123730055776,0.02409942051143878,450850.2904322998,120.06505224571558,729.2272630774871,1499.29260875,0.13488287116534622
280.0,590.0900093375514,0.00080736779361528,0.023182435864112963,445445.2197061316,249.19987427768797,721.7057846015206,1545.283802117347,0.13246049478516467
290.0,590.0900093375514,0.0006964603815986322,0.022272000190380586,439930.9662736597,487.8203246312826,714.0893036666201,1590.8353947193875,0.13005786140264833
300.0,590.0900093375514,0.000607593233917645,0.02136828266201126,434301.57253179245,906.2177827731307,706.3726122628103,1635.9473865561224,0.12767021848278723
310.0,590.0900093375514,0.0005353151460225931,0.02047146278477136,428550.5367303391,1606.1806822704532,698.55002890606,1680.6197776275508,0.12529300822553655
320.0,590.0900093375514,0.00047573801311409164,0.01958173142010595,422670.7418107339,2728.8425579098566,690.6153368560182,1724.8525679336735,0.12292180584349922
330.0,590.0900093375514,0.00042603474846407543,0.018699291949299677,416654.3719206841,4462.397071666777,682.5617116419253,1768.6457574744898,0.12055226153571952
340.0,590.0900093375514,0.0003841137395659881,0.01782436160621586,410492.81390683155,7049.117656999111,674.381635555787,1811.99934625,0.11818004420535969
350.0,590.0900093375514,0.00034840294736683867,0.016957173010726807,404176.5403634803,10791.159388321132,666.0667961432459,1854.9133342602042,0.11580078504136203
360.0,590.0900093375514,0.00031770375446302685,0.016097975942655825,397694.9698582479,16054.726018527897,657.6079648912626,1897.387721505102,0.11341001903658542
370.0,590.0900093375514,0.00029109016160252366,0.015247039406023403,391036.2986764433,23272.34015128193,648.9948512005351,1939.422507984694,0.11100312233920666
380.0,590.0900093375514,0.00026783806026186316,0.014404654046425833,384187.2966969414,32943.13833418782,640.2159252279858,1981.0176936989797,0.10857524300797598
390.0,590.0900093375514,0.00024737481860112636,0.013571135001605025,377133.05764551833,45631.30349581072,631.2582011270196,2022.1732786479595,0.10612122222440774
400.0,590.0900093375514,0.0002292428176498124,0.012746825288321509,369856.6906872896,61962.92498348758,622.1069693567556,2062.8892628316325,0.10363550223939866
410.0,590.0900093375514,0.00021307271511102836,0.011932099859895177,362338.9356939907,82621.72655493405,612.7454627061893,2103.16564625,0.10111201619225026
420.0,590.0900093375514,0.00019856358721486665,0.01112737051176494,354557.6778990658,108344.21590642897,603.1544349132743,2143.002428903061,0.09854405326949968
