Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
260.0,682.9729176010826,0.0029026893472444935,0.02888401049082393,435111.73045687156,7.063776745381941,891.8693681973034,1091.247618721416,0.1014326668952342
270.0,682.9729176010826,0.0023261135182478156,0.02805158442666457,431173.6537516139,16.505434984370304,884.8473905940696,1146.1198525301204,0.09988436945515103
280.0,682.9729176010826,0.0019027451769594635,0.02722362603430317,427176.00062017643,36.0465996778506,877.7596258909756,1200.4245419572164,0.09836028622569172
290.0,682.9729176010826,0.0015841753406649459,0.02640022132431883,423116.35700445704,74.1132840825871,870.6033933999873,1254.1616870027046,0.09685738928852687
300.0,682.9729176010826,0.0013392810343728812,0.025581460188627107,418992.1465752786,144.35887661089063,863.3758331027237,1307.3312876665846,0.09537289171603401
310.0,682.9729176010826,0.0011474453217544054,0.024767436681315275,414800.61526332016,267.8375520968432,856.0738885963673,1359.9333439488564,0.09390420781075315
320.0,682.9729176010826,0.0009946445573545805,0.023958249327855372,410538.81385697983,475.6032177509935,848.6942879104754,1411.9678558495202,0.09244891896084587
330.0,682.9729176010826,0.0008711124055848605,0.023154001466422134,406203.5783651263,811.6601824517012,841.2335218620484,1463.434823368576,0.09100474392237724
340.0,682.9729176010826,0.0007699023778517297,0.022354801625650976,401791.50778550317,1336.1477619280072,833.6878195531978,1514.334246506024,0.0895695125688549
350.0,682.9729176010826,0.0006859789472904385,0.02156076394390039,397298.9388495364,2128.6063891998438,826.0531205385942,1564.6661252618637,0.08814114231878403
360.0,682.9729176010826,0.0006156286431716008,0.020772008635959693,392721.9172280835,3291.1521225357924,818.3250430948667,1614.4304596360955,0.086717616576991
370.0,682.9729176010826,0.0005560699250964256,0.019988662514203233,388056.16457590525,4951.382213187086,810.4988479064253,1663.6272496287188,0.08529696461482851
380.0,682.9729176010826,0.0005051894793908839,0.01921085957248184,383297.04065959953,7264.846804987992,802.5693963354998,1712.2564952397342,0.08387724237468623
390.0,682.9729176010826,0.0004613606591535962,0.018438741642619407,378439.4996468597,10416.949057395057,794.5311022601345,1760.3181964691414,0.08245651371967878
400.0,682.9729176010826,0.0004233163537395392,0.017672459135323688,373478.03942412755,14624.174690573791,786.3778762313599,1807.812353316941,0.08103283166221628
410.0,682.9729176010826,0.0003900585785182656,0.016912171879725928,368406.64254146337,20134.59797845052,778.103060404756,1854.738965783132,0.0796042190958822
420.0,682.9729176010826,0.0003607932513938922,0.016158050078764474,363218.7070393738,27227.66018409405,769.6993523218466,1901.098033867716,0.07816864852243434
430.0,682.9729176010826,0.00033488251143156257,0.015410275401400539,357906.9649672362,36213.26428000515,761.1587151253058,1946.8895575706908,0.07672402020668433
440.0,682.9729176010826,0.0003118094294053131,0.01466904223743509,352463.38582193526,47430.2731584725,752.4722711501897,1992.113536892058,0.07526813810103884
450.0,682.9729176010826,0.00029115158772954246,0.013934559146807293,346879.06136944465,61244.534960563615,743.6301749871277,2036.7699718318167,0.07379868275006904
460.0,682.9729176010826,0.00027256108626523903,0.013207050543139922,341144.06729192357,78046.58716405202,734.6214609856295,2080.8588623899677,0.07231318020080918
470.0,682.9729176010826,0.0002557492564401621,0.01248675866157343,335247.29572855076,98249.21013251203,725.4338586456267,2124.3802085665106,0.0708089656875876
480.0,682.9729176010826,0.00024047486124599917,0.011773945874468287,329176.25090401823,122285.01121037122,716.0535672712507,2167.3340103614455,0.06928314050291606
490.0,682.9729176010826,0.00022653490065216921,0.01106889743660339,322916.7974482386,150604.22306122296,706.4649783926394,2209.7202677747723,0.06773251996620205
500.0,682.9729176010826,0.00021375738089399193,0.010371924765869763,316452.8473784702,183672.89615391038,696.6503304370004,2251.538980806491,0.06615356969599537
510.0,682.9729176010826,0.0002019955746837397,0.009683369398835958,309765.9665399833,221971.65674806002,686.589274392146,2292.7901494566017,0.06454232638082089
520.0,682.9729176010826,0.00019112341928474345,0.009003607806986813,302834.87379830703,265995.190192532,676.2583208798598,2333.473773725104,0.06289429777395916
530.0,682.9729176010826,0.00018103178497361842,0.008333057325125525,295634.7951854268,316252.5966113614,665.6301267387358,2373.5898536119985,0.06120433446085278
540.0,682.9729176010826,0.00017162540725006002,0.007672183538158468,288136.6184525644,373268.7538228398,654.6725605949492,2413.138389117285,0.059466462656064194
550.0,682.9729176010826,0.00016282031841638445,0.007021509612029032,280305.7675703623,437586.8122046965,643.3474580608964,2452.119380240964,0.05767366218943201
560.0,682.9729176010826,0.00015454164143904344,0.006381628265115386,272100.6755315023,509771.9396251885,631.6089313075576,2490.5328269830334,0.055817565733031226
570.0,682.9729176010826,0.0001467216225668472,0.005753217402832108,263470.6663033149,590416.4328146471,619.4010224273655,2528.378729343496,0.05388804202229236
580.0,682.9729176010826,0.00013929777742984205,0.00513706096024196,254352.94215723668,680146.315859228,606.6543619025431,2565.6570873223504,0.051872603232868374
590.0,682.9729176010826,0.0001322110021470419,0.004534077363054939,244668.16987585544,779629.5580093036,593.2812665180968,2602.3679009195967,0.04975553669641737
600.0,682.9729176010826,0.00012540344118565575,0.0039453595143228905,234313.78317924123,889586.0628734761,579.1682890357657,2638.5111701352344,0.0475165869205191
610.0,682.9729176010826,0.00011881577170005425,0.0033722329362051544,223153.37971021855,1010799.6105751412,564.1644008504584,2674.0868949692644,0.045128867995796754
620.0,682.9729176010826,0.00011238327233335386,0.0028163439565289847,210999.03469729726,1144131.975034904,548.0612337483365,2709.0950754216865,0.04255537911329078
630.0,682.9729176010826,0.00010602935916299673,0.0022798007924729772,197579.78029738195,1290539.4919702555,530.5577634582032,2743.5357114925005,0.03974278984862783
640.0,682.9729176010826,9.965348860087888e-05,0.0017654155476757515,182480.33021163195,1451092.4216820283,511.1913980433168,2777.4088031817064,0.03660934899952096
650.0,682.9729176010826,9.310495127151461e-05,0.0012771608666739271,165006.79241565097,1626997.5370464374,489.1862046552532,2810.7143504893047,0.033018363140442784
660.0,682.9729176010826,8.611392494105674e-05,0.0008211614506734433,143834.86085757357,1819624.4749918887,463.0525027205029,2843.452353415293,0.028708650528782877
670.0,682.9729176010826,7.80426038094711e-05,0.00040841274031916397,115759.41659796471,2030536.523827487,429.14782405972227,2875.622811959675,0.023047109891536213
680.0,682.9729176010826,6.591147662518863e-05,6.746127440992939e-05,66131.97762906902,2261526.685226115,370.36852855445176,2907.225726122449,0.013134069247750456
682.9729176010826,682.9729176010826,4.943134953027964e-05,0.0,0.0,2334367.0368455816,279.51810774140915,2916.511568499759,0.0
