Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
270.0,715.5240590129254,0.004412171392690937,0.025732795114032883,491336.45128216245,0.11395586967437064,829.2081515939977,1361.9432434285716,0.09086891510371573
280.0,715.5240590129254,0.0034463534149105505,0.025028628977782373,487116.18616497546,0.3406065549959397,822.5678030692446,1410.9092616793005,0.08954401038611287
290.0,715.5240590129254,0.002754728104261085,0.024328046914199524,482835.4058378613,0.9337485816130769,815.8721379581398,1459.3953104450923,0.08823951144525549
300.0,715.5240590129254,0.002245998351015424,0.02363111427448238,478491.7891524879,2.3691201717998207,809.1190080753877,1507.4013897259476,0.08695300583828644
310.0,715.5240590129254,0.001862941181297913,0.022937899199167344,474082.86747028044,5.606977297214143,802.3061294914095,1554.927499521866,0.08568227007347119
320.0,715.5240590129254,0.0015685189379052672,0.02224847280875052,469606.01139078714,12.463094084156483,795.4310703586488,1601.9736398328475,0.08442523991967547
330.0,715.5240590129254,0.0013380682340531427,0.021562909412474743,465058.4159169564,26.174725344612177,788.4912373067303,1648.539810658892,0.08317998484367144
340.0,715.5240590129254,0.0011547456199721628,0.020881286737528492,460437.0838275096,52.21426574518912,781.4838601962371,1694.6260120000002,0.08194468574021295
350.0,715.5240590129254,0.0010067853909252317,0.020203686181247987,455738.8069857136,99.39663558577807,774.4059749834885,1740.2322438561712,0.08071761527889698
360.0,715.5240590129254,0.0008858002750069131,0.019530193089322176,450960.1452643845,181.31140597834872,767.2544044034464,1785.3585062274053,0.0794971203116633
370.0,715.5240590129254,0.000785700731772535,0.018860897063487092,446097.40270677506,318.0879910326167,760.0257361228375,1830.0047991137026,0.07828160587454598
380.0,715.5240590129254,0.00070199135779432,0.018195892302777527,441146.6004694137,538.4739813787801,752.7162979482734,1874.1711225150634,0.07706952038348108
390.0,715.5240590129254,0.0006313029441996449,0.017535277983102903,436103.4460025016,882.17611128958,745.3221295913958,1917.857476431487,0.07585934167115692
400.0,715.5240590129254,0.0005710751521449971,0.01687915868075845,430963.29781161493,1402.3842731882994,737.8389503907437,1961.063860862974,0.07464956354315781
410.0,715.5240590129254,0.0005193374627278473,0.016227644846507745,425721.125005287,2168.375204331681,730.2621222627009,2003.790275809524,0.07343868254892254
420.0,715.5240590129254,0.00047455547347079104,0.015580853338124612,420371.4606587846,3268.0771179652943,722.5866069944268,2046.0367212711371,0.07222518466725417
430.0,715.5240590129254,0.0004355214097194174,0.014938908020820926,414908.3478046606,4810.471707242459,714.8069167905747,2087.8031972478134,0.0710075315973036
