Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
260.0,689.3763988856061,0.0037828342160659825,0.027505073327892624,484566.70604106796,0.41089009057377396,830.1794746204878,1293.0968188069075,0.09855131754738826
270.0,689.3763988856061,0.002962199724833414,0.02672417832387488,480246.91243358044,1.1702633602296162,823.429496680581,1342.8384378021979,0.09706031784513258
280.0,689.3763988856061,0.0023742404082585486,0.025947410586318654,475862.7731669954,3.0615627805729497,816.6198549746384,1392.0966800313972,0.09559308579545889
290.0,689.3763988856061,0.0019413537549969303,0.025174848332408996,471411.7220416985,7.424748583372955,809.748146420255,1440.8715454945057,0.09414670672420589
300.0,689.3763988856061,0.001614991824301068,0.02440657325250895,466891.023149005,16.824304060661504,802.8118098617082,1489.163034191523,0.09271850133009009
310.0,689.3763988856061,0.001363770543662169,0.023642670757337673,462297.7549614102,35.8670353203386,795.8081112965368,1536.9711461224492,0.09130598736583427
320.0,689.3763988856061,0.001166806275004901,0.022883230249704675,457628.792468565,72.37075292935765,788.7341272902588,1584.2958812872841,0.08990684679605154
330.0,689.3763988856061,0.0010098413908279128,0.02212834542396917,452880.7870589639,138.93912020741078,781.5867263012511,1631.1372396860281,0.08851889728531563
340.0,689.3763988856061,0.0008829164353355145,0.021378114596902045,448050.14379154803,254.9710330015946,774.3625475861263,1677.4952213186812,0.08714006709375725
350.0,689.3763988856061,0.0007789299083627659,0.020632641074234712,443132.9956333629,449.0959218015934,767.0579772928805,1723.3698261852433,0.08576837262430435
360.0,689.3763988856061,0.0006927234262231847,0.019892033557906717,438125.1741559077,761.9836348023393,759.6691212716929,1768.7610542857144,0.0844018979889566
370.0,689.3763988856061,0.0006204866105440164,0.019156406599901272,433022.1760797963,1249.434694296751,752.191774037797,1813.6689056200942,0.08303877605079285
380.0,689.3763988856061,0.0005593615118270206,0.018425881109620804,427819.12492948514,1985.6196262421593,744.6213832023224,1858.093380188383,0.08167717046030508
390.0,689.3763988856061,0.0005071744407143594,0.01770058492304965,422510.72690012754,3066.309902926696,736.9530085389578,1902.0344779905809,0.08031525824344447
400.0,689.3763988856061,0.0004622508700674356,0.016980653443538975,417091.2198377869,4611.931421565848,729.1812746681071,1945.4921990266876,0.07895121251695508
410.0,689.3763988856061,0.000423285547047439,0.016266230366007835,411554.3139799236,6770.2759873261075,721.3003161043513,1988.4665432967035,0.07758318490510759
420.0,689.3763988856061,0.000389249950231779,0.015557468498787232,405893.12277850625,9718.72654969774,713.3037131120136,2030.957510800628,0.07620928721028941
430.0,689.3763988856061,0.000359325420981911,0.014854530700377669,400100.08171055623,13665.885749917283,705.1844164262528,2072.9651015384616,0.07482757184592834
440.0,689.3763988856061,0.0003328542123996462,0.014157590952227872,394166.85243906913,18852.541180629283,696.9346583942823,2114.489315510204,0.07343601046992208
450.0,689.3763988856061,0.0003093032176673497,0.013466835593519945,388084.20897749806,25551.950448566888,688.5458474325064,2155.5301527158554,0.0720324701537047
460.0,689.3763988856061,0.00028823678740327164,0.012782464750201216,381841.9015719707,34069.48036789117,680.0084418234671,2196.087613155416,0.07061468627661163
470.0,689.3763988856061,0.00026929614076252065,0.012104693998602319,375428.4927596532,44741.683483570196,671.3117977100846,2236.1616968288854,0.06918023113296792
480.0,689.3763988856061,0.0002521836133863743,0.011433756314575867,368831.1583626677,57934.938466661326,662.4439845659278,2275.752403736264,0.0677264769591501
490.0,689.3763988856061,0.00023665048987651964,0.010769904373106792,362035.44384909904,74043.81653238859,653.3915592561649,2314.859733877551,0.06625055169835734
500.0,689.3763988856061,0.00022248751756581158,0.010113413282114821,355024.9632590247,93489.36273452263,644.1392867962921,2353.4836872527476,0.06474928527483853
510.0,689.3763988856061,0.00020951744259885648,0.009464583859640505,347781.0233339693,116717.49860035915,634.669791672552,2391.6242638618523,0.06321914337506311
520.0,689.3763988856061,0.00019758908187436354,0.008823746598678362,340282.1489524139,144197.7617667177,624.9631175018808,2429.2814637048664,0.061656144619473705
530.0,689.3763988856061,0.0001865725671738671,0.008191266512994008,332503.47643418075,176422.6004265419,614.9961639196201,2466.4552867817893,0.060055755378837825
540.0,689.3763988856061,0.00017635548541068707,0.007567549127158527,324415.9670696496,213907.43736829548,604.7419563343083,2503.1457330926214,0.05841275405854027
