Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
230.0,631.5471320530709,0.0028859936233121054,0.03477500759361945,452145.0455069338,7.212665862505436,914.9264634402577,816.0983066754443,0.12141474770599019
240.0,631.5471320530709,0.002261212856815665,0.03371947992563035,447832.7325947397,18.534666453341657,907.3781836611538,871.6019930809742,0.11940676467409754
250.0,631.5471320530709,0.0018166977252433902,0.03266992650338204,443451.5824747203,43.83001759745089,899.7549205904886,926.5526146412112,0.11743688209297506
260.0,631.5471320530709,0.0014908870236702155,0.03162646878434892,438998.64785913186,96.32875949077128,892.053447195134,980.9501713561554,0.11550016271011392
270.0,631.5471320530709,0.0012458806388475207,0.030589234022270425,434470.7718186749,198.42286739654307,884.2703079847184,1034.7946632258063,0.11359212990943918
280.0,631.5471320530709,0.0010574871272368668,0.029558355711343333,429864.5666021983,385.83687471968875,876.4017959839688,1088.0860902501645,0.11170868709071005
290.0,631.5471320530709,0.0009097700469775927,0.028533974078029357,425176.3896467384,712.6558615711191,868.443926652992,1140.8244524292297,0.1098460501004355
300.0,631.5471320530709,0.0007919352321725731,0.027516236627122923,420402.31631105696,1257.0271778438791,860.3924082483911,1193.009749763002,0.10800068976786277
310.0,631.5471320530709,0.000696489221076406,0.026505298749879322,415538.1087716727,2127.250861688226,852.2426080157585,1244.6419822514813,0.10616928224359012
320.0,631.5471320530709,0.0006181144467886259,0.025501324403401582,410579.1804036721,3467.900863806099,843.9895134772271,1295.7211498946676,0.10434866530555136
330.0,631.5471320530709,0.0005529623804875136,0.024504486872186326,405520.55482300353,5465.585730945454,835.6276879194792,1346.247252692561,0.10253579913439553
340.0,631.5471320530709,0.0004981978242035754,0.023514969624812494,400356.8185841849,8353.967202665128,827.1512189888409,1396.2202906451612,0.10072773029944372
350.0,631.5471320530709,0.000451698260853197,0.022532967281323275,395082.0662962295,12417.705425599766,818.553659048704,1445.6402637524686,0.09892155785873649
360.0,631.5471320530709,0.0004118513083895209,0.021558686710035115,389689.8366251623,17995.08219872055,809.8279556341546,1494.5071720144833,0.09711440057581755
370.0,631.5471320530709,0.0003774156408678716,0.02059234827648327,384173.03727338184,25479.157738593076,800.9663699271821,1542.8210154312046,0.09530336429954275
380.0,631.5471320530709,0.0003474238105870811,0.01963418727221732,378523.8565363743,35317.42982289005,791.9603806426625,1590.5817940026334,0.09348550854403925
