Tc,Pc,Vc,Tb,Tm,Hf,Gf,Hv_stp,Cp_stp,Cp_B,Cp_C,Vm_stp,omega
596.171639602826,41.87815095548799,0.00031025,386.1159486265242,227.2796481293837,47537.0,120342.00000000001,37095.0,104.97600000000001,229.3629,-86.91300000000001,0.00010701,0.0536860734460488
620.0557143469166,36.04596765173475,0.00038265,411.37354994773517,215.7180929591428,30237.0,131035.0,41620.0,130.05490000000003,273.7241,-104.7053,0.00012340999999999999,0.06697130213047495
639.5862522315682,32.09116716048296,0.00043845,435.12269917676247,226.64070457810215,9473.999999999996,139266.0,46270.0,152.6895,318.8174,-120.4086,0.00013981000000000003,0.1015461619893039
657.2143388079443,28.776289556357384,0.00049425,456.3970062273378,236.50995671307044,-11289.000000000002,147497.0,50919.99999999999,175.32410000000002,363.9107,-136.1119,0.00015621000000000002,0.13935106891448235
673.2779290330267,25.970368138802804,0.0005500500000000001,475.66393456151894,245.51126732996065,-32052.000000000007,155727.99999999997,55570.0,197.95870000000002,409.004,-151.8152,0.00017261000000000002,0.17938706805049176
688.0322258593552,23.574303722957954,0.0006058500000000001,493.26985608364026,253.78503289256682,-52815.000000000015,163959.0,60220.00000000001,220.5933,454.0973,-167.51850000000002,0.00018901,0.22094698840230392
701.6746702515629,21.511993021685683,0.0006616500000000001,509.47857031461814,261.4401188557161,-73578.0,172190.00000000003,64869.99999999999,243.22790000000003,499.1906,-183.2218,0.00020541,0.2635205665072874
714.3611565123537,19.724210221976303,0.00071745,524.4956293534813,268.5626474631343,-94341.00000000001,180421.00000000003,69520.0,265.8625,544.2839,-198.9251,0.00022181000000000002,0.30673396682646664
726.2169287809363,18.164306868574307,0.0007732500000000002,538.4843166863552,275.22192247383913,-115104.00000000001,188652.00000000003,74170.0,288.4971,589.3772,-214.6284,0.00023821000000000004,0.3503099823123275
739.0203996729108,38.36104348592756,0.00041285,484.15897250951866,255.82939642209564,154379.0,226406.0,64717.0,132.1139,312.67319999999995,-130.8102,0.00012651,0.207527674558118
752.2419828449184,33.536484301764496,0.00047425,503.085772129492,259.1180644309662,123947.0,226378.0,70395.0,158.59140000000002,345.57629999999995,-138.708,0.00014221,0.241698549039622
762.7186440433771,29.359313117698417,0.0005466500000000001,517.7172386122564,250.77542069231853,106646.99999999999,237071.00000000003,74920.0,183.67030000000003,389.9375,-156.5003,0.00015861,0.2597250693260343
771.8652785719648,26.46577143753274,0.00060245,532.161405532584,258.6502201640148,85883.99999999999,245302.0,79570.0,206.30490000000003,435.0308,-172.2036,0.00017501,0.3028942555910584
660.7469547945586,37.81639177799698,0.00041359000000000003,442.7699117024912,216.88080043823902,67418.0,171724.00000000003,47673.0,128.10950000000003,315.0261,-121.9578,0.00012184,0.04578177076460685
682.9962826570792,32.90488304899961,0.0004944099999999999,463.3812272956112,237.04179329584167,23213.0,166042.0,51986.00000000001,152.6819,379.77930000000003,-145.3195,0.00013674,0.036953042639423714
692.0256584683968,29.461168553933668,0.0005451100000000001,475.1070949856046,235.9743212504146,-5737.000000000002,169629.0,54223.00000000001,174.08970000000002,434.2569,-169.0537,0.00015354000000000002,0.052110550565773475
705.381312054142,26.55223486247864,0.00060091,492.75903841896735,245.02080350370633,-26500.000000000007,177860.0,58873.0,196.72430000000003,479.3502,-184.757,0.00016994000000000002,0.0846858818578298
717.8194407663971,24.07282332334318,0.00065671,509.00674801429227,253.3327143421389,-47263.0,186091.0,63523.0,219.3589,524.4435,-200.46030000000002,0.00018634,0.1211076769092054
729.4580479657745,21.942353279761132,0.0007125100000000001,524.0572709406425,261.02044032553766,-68026.00000000001,194322.0,68172.99999999999,241.99349999999998,569.5368,-216.1636,0.00020274000000000003,0.1601898413352084
533.4146960602997,28.076088413867037,0.0004235499999999999,363.5329429558441,155.40278467147132,-193921.00000000003,5920.000000000002,36190.0,162.9817,312.8352,-106.4522,0.00014804,0.32164517321008307
563.9600955342268,25.374297018163766,0.00047934999999999997,393.1121914923576,174.31416081112434,-214684.0,14151.000000000004,40840.0,185.61630000000002,357.9285,-122.15549999999999,0.00016444000000000005,0.36529484812103286
590.0900093375514,23.06269735503261,0.0005351500000000001,418.94644388015956,190.27205930323004,-235447.00000000003,22382.0,45490.0,208.2509,403.0218,-137.8588,0.00018084,0.4090410509318275
612.9212458791403,21.06961769974743,0.00059095,441.87831208846717,204.07559075052558,-256210.00000000003,30612.999999999996,50140.0,230.88549999999998,448.1151,-153.5621,0.00019724000000000003,0.4527417275112839
633.1940800850165,19.33911744393686,0.0006467500000000001,462.4945714653191,216.2378601329898,-276973.0,38843.99999999999,54790.00000000001,253.5201,493.2084,-169.2654,0.00021364000000000002,0.49628925819734715
651.4245449431619,17.82701855284507,0.00070255,481.22027792628666,227.10801658644323,-297736.00000000006,47075.0,59440.00000000001,276.1547,538.3017,-184.9687,0.00023004000000000004,0.5396020257104844
667.986751127782,16.498057761142935,0.00075835,498.3732275321932,236.93443061604847,-318499.00000000006,55306.0,64090.0,298.7893,583.395,-200.672,0.00024644,0.5826182412069446
683.160587368329,15.323811859972231,0.00081415,514.1972613788107,245.9000975020379,-339262.00000000006,63537.00000000001,68740.0,321.4239,628.4883,-216.3753,0.00026284,0.6252913644550224
697.1609248284335,14.2811652042823,0.00086995,528.8835698021345,254.14374173391892,-360025.00000000006,71768.0,73390.0,344.0585,673.5816,-232.0786,0.00027924,0.6675866667909179
710.1563157538748,13.351163334360619,0.00092575,542.5848379002224,261.7730376331239,-380788.00000000006,79999.0,78039.99999999999,366.69309999999996,718.6749,-247.7819,0.00029564000000000006,0.7094786246997995
722.2814186586857,12.518145405333525,0.00098155,555.424938050257,268.87323588947993,-401551.0000000001,88230.0,82690.0,389.3277,763.7682,-263.48519999999996,0.00031204000000000003,0.7509489247245345
733.6455177204474,11.769080538585772,0.00103735,567.505752407387,275.51298784616665,-422314.0,96461.0,87340.0,411.96229999999997,808.8615,-279.1885,0.00032844,0.7919849234339776
744.3385229547005,11.09305510025501,0.00109315,578.9120884141668,281.7483935521889,-443077.00000000006,104692.0,91990.0,434.5969,853.9548,-294.8918,0.00034484000000000007,0.8325784496447658
754.435295402765,10.48087291698052,0.00114895,589.7152932344636,287.6258864175002,-463840.0000000001,112923.0,96640.0,457.2315,899.0481,-310.5951,0.0003612400000000001,0.872724866493915
549.8559805147336,28.211295144169483,0.00042465000000000005,379.0732115086755,175.55420604319437,-184874.0,10267.000000000004,38311.0,163.62550000000002,304.6511,-98.36290000000001,0.00014631000000000003,0.33694545829356337
577.9457114579355,25.489490906571216,0.00048045,406.62597171302997,191.33412681193053,-205637.0,18497.999999999993,42961.00000000001,186.2601,349.7444,-114.06620000000001,0.00016271000000000002,0.3806477918984475
602.2584274311815,23.161640961565126,0.00053625,430.9014175318941,205.00435722735716,-226400.0,26729.000000000004,47611.00000000001,208.8947,394.8377,-129.7695,0.00017911,0.42439221866930527
623.6905158181833,21.155229324445433,0.0005920500000000001,452.5969765549304,217.0630557584084,-247163.00000000003,34959.99999999999,52261.0,231.5293,439.931,-145.4728,0.00019551000000000003,0.46804990995603424
642.8528430826709,19.413688623760915,0.00064785,472.2087083245329,227.8504232656127,-267926.00000000006,43190.999999999985,56911.0,254.1639,485.0243,-161.1761,0.00021191000000000002,0.5115232009712154
660.1804590743848,17.89236889750316,0.0007036500000000001,490.10206460808104,237.6091455975787,-288689.0,51422.0,61561.0,276.79850000000005,530.1176,-176.8794,0.00022831000000000001,0.5547380445561868
675.9941998021328,16.555646938861766,0.0007594500000000001,506.5540631139263,246.5184334362855,-309452.00000000006,59652.99999999999,66211.0,299.4331,575.2109,-192.5827,0.00024471000000000003,0.5976384595682402
690.537469490218,15.374821767307763,0.00081525,521.7797029417904,254.71439409662128,-330215.00000000006,67883.99999999999,70861.0,322.0677,620.3042,-208.286,0.00026111,0.6401823952418112
703.9993127997162,14.326561058101504,0.0008710500000000002,535.9491987804702,262.30283423651474,-350978.00000000006,76115.0,75511.0,344.7023,665.3975,-223.9893,0.00027751,0.682338615722264
716.5294861582997,13.391739645523264,0.0009268500000000001,549.1996155693475,269.3676360112034,-371741.00000000006,84345.99999999999,80161.0,367.33689999999996,710.4908,-239.6926,0.0002939100000000001,0.7240843294730448
728.2486427583212,12.554560963045802,0.00098265,561.6429542439213,275.9764250615267,-392504.00000000006,92577.0,84811.0,389.97150000000005,755.5841,-255.39589999999998,0.00031031000000000006,0.7654033691531947
739.2554170636033,11.80188530787197,0.0010384499999999998,573.3719132365622,282.1845175394752,-413267.00000000006,100808.0,89461.0,412.6061,800.6774,-271.0992,0.0003267100000000001,0.8062847827865263
575.7778704534722,33.406624108846806,0.00039751,376.16207458923685,199.43122185897457,-152353.0,29965.0,36061.0,133.4693,342.8263,-121.31790000000001,0.00012794,0.22047406486005383
